country,total,correct,accuracy
afghanistan,41,27,0.658537
argentina,33,26,0.787879
australia,25,19,0.76
austria,33,24,0.727273
bangladesh,33,24,0.727273
bosnia_and_herzegovina,34,25,0.735294
brazil,32,20,0.625
cambodia,36,25,0.694444
canada,32,22,0.6875
chile,35,21,0.6
china,36,23,0.638889
colombia,32,21,0.65625
croatia,35,23,0.657143
cyprus,35,27,0.771429
egypt,35,27,0.771429
ethiopia,45,29,0.644444
fiji,21,18,0.857143
france,34,27,0.794118
germany,43,29,0.674419
greece,34,25,0.735294
hong_kong,35,23,0.657143
hungary,36,24,0.666667
india,29,21,0.724138
indonesia,26,18,0.692308
iran,44,28,0.636364
iraq,34,22,0.647059
ireland,41,29,0.707317
israel,42,25,0.595238
italy,34,25,0.735294
japan,35,22,0.628571
kenya,33,23,0.69697
laos,33,26,0.787879
lebanon,26,18,0.692308
malaysia,34,22,0.647059
malta,36,26,0.722222
mauritius,40,21,0.525
mexico,34,23,0.676471
myanmar,45,31,0.688889
nepal,37,28,0.756757
netherlands,36,24,0.666667
new_zealand,42,28,0.666667
north_macedonia,34,25,0.735294
pakistan,35,27,0.771429
palestinian_territories,34,28,0.823529
papua_new_guinea,34,27,0.794118
peru,32,22,0.6875
philippines,32,26,0.8125
poland,35,24,0.685714
portugal,45,27,0.6
romania,36,24,0.666667
russia,35,23,0.657143
samoa,36,29,0.805556
saudi_arabia,44,34,0.772727
serbia,39,27,0.692308
singapore,31,23,0.741935
somalia,45,33,0.733333
south_africa,36,27,0.75
south_korea,27,17,0.62963
south_sudan,27,18,0.666667
spain,34,29,0.852941
sri_lanka,35,25,0.714286
sudan,48,33,0.6875
sweden,34,22,0.647059
syria,18,13,0.722222
taiwan,32,22,0.6875
thailand,39,24,0.615385
timor-leste,36,24,0.666667
tonga,35,23,0.657143
türkiye,35,27,0.771429
ukraine,41,30,0.731707
united_kingdom,27,18,0.666667
united_states_of_america,42,31,0.738095
venezuela,34,25,0.735294
vietnam,36,25,0.694444
zimbabwe,34,27,0.794118
