scenario_id,country,gold,story_words,rot_words,cluster,mean_correct,qwen7_gemma4::gemma4,qwen7_gemma4::qwen7,qwen7_ollama_llama3_8b::ollama_llama3_8b,qwen7_ollama_llama3_8b::qwen7,qwen7_qwen15::qwen15,qwen7_qwen15::qwen7,single_gemma4::gemma4,single_ollama_llama3_8b::ollama_llama3_8b,single_qwen7::qwen
0014da379034577f,hong_kong,yes,28,10,0,0.7777777777777778,1,1,1,1,0,1,1,0,1
0051d5d7186c4847,hong_kong,neutral,34,13,3,0.125,0,0,0,0,0,0,0,-1,1
0053b34487a1ab24,philippines,no,33,23,4,0.5555555555555556,1,1,1,1,0,1,0,0,0
0059ff3dfcf81703,russia,yes,23,19,0,0.4444444444444444,1,1,1,0,0,0,1,0,0
005dab5e006d16ec,south_sudan,yes,24,13,2,0.7777777777777778,1,1,1,1,1,1,1,0,0
0063c052f813fe9c,samoa,no,39,20,0,1.0,1,1,1,1,1,1,1,-1,1
0064b5df723b6a84,greece,yes,34,12,2,1.0,1,1,1,1,1,1,1,1,1
0096dee4b58fb1d8,vietnam,no,45,18,0,0.7777777777777778,1,1,1,1,0,1,1,0,1
00ac9351b1667eeb,greece,yes,38,17,2,0.6666666666666666,1,1,1,0,1,1,1,0,0
00c1408b8cd8d9e1,ireland,neutral,72,24,3,0.125,0,0,0,0,1,0,0,-1,0
00d491188d51dbb4,syria,no,26,20,4,0.625,1,1,1,1,0,1,0,-1,0
00dfd6157ab41921,poland,yes,24,23,0,0.6666666666666666,1,1,1,1,0,1,1,0,0
00f525286278097a,iraq,yes,47,17,2,0.8888888888888888,1,1,1,1,1,1,1,0,1
011f744ee736037c,pakistan,yes,34,16,2,1.0,1,1,1,1,1,1,1,1,1
01694172333742eb,samoa,neutral,38,10,3,0.125,1,0,0,0,0,0,0,-1,0
0188720f465802b6,ukraine,yes,32,14,0,0.6666666666666666,1,1,1,1,0,1,1,0,0
018f799fcbcb718e,italy,yes,24,11,2,0.8888888888888888,1,1,1,1,1,1,1,1,0
02162029ea2cc4d9,ukraine,yes,37,16,2,1.0,1,1,1,1,1,1,1,1,1
0233aafa5b13c8a9,afghanistan,neutral,37,19,3,0.25,0,0,0,0,0,0,1,-1,1
025e81362bbdb617,lebanon,no,31,12,4,0.4444444444444444,1,1,1,0,1,0,0,0,0
027935bc8f8b36e9,ukraine,no,50,15,4,0.625,1,1,1,1,0,1,0,-1,0
028c5a4f26969bd6,taiwan,yes,27,12,2,0.8888888888888888,1,1,1,1,0,1,1,1,1
02921594a618c9fa,new_zealand,yes,38,27,2,1.0,1,1,1,1,1,1,1,1,1
02a6f5a2874acb71,china,no,47,22,0,1.0,1,1,1,1,1,1,1,-1,1
02a786e127ceefe5,peru,neutral,42,21,1,0.5,0,1,0,0,0,1,1,-1,1
02d0f525b1dd05de,sweden,no,26,13,3,0.125,1,0,0,0,0,0,0,-1,0
02ec57b9b58a74ac,portugal,yes,51,17,0,1.0,1,1,1,1,1,1,1,-1,1
03230a0c17379f6d,netherlands,yes,37,11,2,0.8888888888888888,1,1,1,1,1,1,1,1,0
035a6ea2925be1cb,chile,yes,27,23,0,0.5555555555555556,1,1,1,1,0,0,1,0,0
036a3d6a02147404,romania,yes,25,16,4,0.5555555555555556,1,1,1,1,0,1,0,0,0
036cb663ba652d77,south_sudan,no,43,8,4,0.625,1,1,1,1,0,1,0,-1,0
03717af467f8d6e9,bosnia_and_herzegovina,yes,34,28,2,0.7777777777777778,1,1,1,1,1,1,1,0,0
03b126f3a9654e26,serbia,no,29,8,4,0.625,1,1,1,1,0,1,0,-1,0
03b1287e78fce4db,south_sudan,neutral,42,13,3,0.375,1,0,0,0,1,0,1,-1,0
03b7a96ccf8bd5f4,ethiopia,no,34,13,4,0.625,1,1,1,1,0,1,0,-1,0
03bedd6390cd1eb2,vietnam,neutral,50,15,3,0.375,0,0,0,0,1,0,1,-1,1
03e19f276b15af9d,france,no,43,16,4,0.875,1,1,1,1,1,1,0,-1,1
03e937dc5043fef9,portugal,no,32,15,4,0.75,1,1,1,1,1,1,0,-1,0
03ef61332dceca32,singapore,no,32,18,0,0.7777777777777778,1,1,1,1,0,1,1,0,1
03f3be0e76adf10c,somalia,neutral,23,11,3,0.125,0,0,0,0,0,1,0,-1,0
03f64605ae2d0207,taiwan,no,27,12,1,0.5,1,1,0,1,0,1,0,-1,0
042385b0fb5e0598,indonesia,neutral,44,17,3,0.0,0,0,0,0,0,0,0,-1,0
04239850115b9008,iraq,yes,39,23,0,0.7777777777777778,1,1,1,1,0,1,1,0,1
0470c04b0f470549,israel,neutral,46,16,3,0.5,1,0,1,0,1,0,0,-1,1
04755b3589c328dc,kenya,yes,26,13,1,0.4444444444444444,1,1,0,0,0,1,1,0,0
0476842d8103e674,timor-leste,no,41,14,4,0.5555555555555556,1,1,1,1,0,1,0,0,0
048d2b1e6bd57b14,samoa,yes,71,27,2,1.0,1,1,1,1,1,1,1,1,1
04a0e9d3538e514a,colombia,neutral,29,10,4,0.5,0,1,1,1,0,1,0,-1,0
04bb5bde5692addd,portugal,neutral,32,18,1,0.375,0,1,0,0,0,1,0,-1,1
04bf215ca58ea9bf,sweden,no,58,15,0,0.875,1,1,1,1,0,1,1,-1,1
