model,country,total,drift_rate,neutral_collapse_rate,initial_accuracy,final_accuracy,accuracy_gain
qwen15,afghanistan,41,0.487805,0.0,0.707317,0.414634,-0.292683
qwen15,argentina,33,0.575758,0.0,0.69697,0.393939,-0.30303
qwen15,australia,25,0.32,0.0,0.6,0.36,-0.24
qwen15,austria,33,0.606061,0.0,0.69697,0.363636,-0.333333
qwen15,bangladesh,33,0.424242,0.0,0.666667,0.393939,-0.272727
qwen15,bosnia_and_herzegovina,34,0.5,0.0,0.617647,0.382353,-0.235294
qwen15,brazil,32,0.5625,0.0,0.625,0.46875,-0.15625
qwen15,cambodia,36,0.583333,0.0,0.638889,0.333333,-0.305556
qwen15,canada,32,0.46875,0.0,0.65625,0.375,-0.28125
qwen15,chile,35,0.685714,0.0,0.571429,0.342857,-0.228571
qwen15,china,36,0.416667,0.0,0.638889,0.361111,-0.277778
qwen15,colombia,32,0.5,0.0,0.59375,0.375,-0.21875
qwen15,croatia,35,0.6,0.0,0.628571,0.342857,-0.285714
qwen15,cyprus,35,0.6,0.0,0.628571,0.342857,-0.285714
qwen15,egypt,35,0.485714,0.0,0.685714,0.342857,-0.342857
qwen15,ethiopia,45,0.533333,0.0,0.6,0.355556,-0.244444
qwen15,fiji,21,0.571429,0.0,0.857143,0.428571,-0.428571
qwen15,france,34,0.558824,0.0,0.676471,0.352941,-0.323529
qwen15,germany,43,0.534884,0.0,0.627907,0.372093,-0.255814
qwen15,greece,34,0.5,0.0,0.676471,0.352941,-0.323529
qwen15,hong_kong,35,0.514286,0.0,0.685714,0.371429,-0.314286
qwen15,hungary,36,0.611111,0.0,0.527778,0.305556,-0.222222
qwen15,india,29,0.310345,0.0,0.586207,0.310345,-0.275862
qwen15,indonesia,26,0.615385,0.0,0.692308,0.346154,-0.346154
qwen15,iran,44,0.522727,0.0,0.636364,0.363636,-0.272727
qwen15,iraq,34,0.5,0.0,0.676471,0.352941,-0.323529
qwen15,ireland,41,0.439024,0.0,0.634146,0.390244,-0.243902
qwen15,israel,42,0.642857,0.0,0.595238,0.309524,-0.285714
qwen15,italy,34,0.529412,0.0,0.647059,0.352941,-0.294118
qwen15,japan,35,0.571429,0.0,0.685714,0.342857,-0.342857
qwen15,kenya,33,0.575758,0.0,0.636364,0.363636,-0.272727
qwen15,laos,33,0.575758,0.0,0.666667,0.424242,-0.242424
qwen15,lebanon,26,0.5,0.0,0.576923,0.346154,-0.230769
qwen15,malaysia,34,0.588235,0.0,0.705882,0.352941,-0.352941
qwen15,malta,36,0.527778,0.0,0.611111,0.333333,-0.277778
qwen15,mauritius,40,0.375,0.0,0.6,0.35,-0.25
qwen15,mexico,34,0.558824,0.0,0.676471,0.352941,-0.323529
qwen15,myanmar,45,0.577778,0.0,0.644444,0.333333,-0.311111
qwen15,nepal,37,0.540541,0.0,0.648649,0.324324,-0.324324
qwen15,netherlands,36,0.583333,0.0,0.694444,0.361111,-0.333333
qwen15,new_zealand,42,0.47619,0.0,0.642857,0.380952,-0.261905
qwen15,north_macedonia,34,0.588235,0.0,0.588235,0.323529,-0.264706
qwen15,pakistan,35,0.542857,0.0,0.628571,0.4,-0.228571
qwen15,palestinian_territories,34,0.529412,0.0,0.794118,0.470588,-0.323529
qwen15,papua_new_guinea,34,0.529412,0.0,0.705882,0.382353,-0.323529
qwen15,peru,32,0.5,0.0,0.625,0.375,-0.25
qwen15,philippines,32,0.5625,0.0,0.71875,0.375,-0.34375
qwen15,poland,35,0.514286,0.0,0.685714,0.371429,-0.314286
qwen15,portugal,45,0.555556,0.0,0.511111,0.311111,-0.2
qwen15,romania,36,0.416667,0.0,0.638889,0.361111,-0.277778
qwen15,russia,35,0.571429,0.0,0.6,0.371429,-0.228571
qwen15,samoa,36,0.5,0.0,0.666667,0.388889,-0.277778
qwen15,saudi_arabia,44,0.545455,0.0,0.636364,0.340909,-0.295455
qwen15,serbia,39,0.487179,0.0,0.564103,0.307692,-0.25641
qwen15,singapore,31,0.580645,0.0,0.774194,0.387097,-0.387097
