model,country,total,drift_rate,neutral_collapse_rate,initial_accuracy,final_accuracy,accuracy_gain
qwen7,afghanistan,41,0.04878,0.02439,0.804878,0.756098,-0.04878
qwen7,argentina,33,0.030303,0.0,0.878788,0.848485,-0.030303
qwen7,australia,25,0.2,0.04,0.88,0.76,-0.12
qwen7,austria,33,0.121212,0.0,0.787879,0.727273,-0.060606
qwen7,bangladesh,33,0.090909,0.0,0.848485,0.757576,-0.090909
qwen7,bosnia_and_herzegovina,34,0.147059,0.029412,0.852941,0.764706,-0.088235
qwen7,brazil,32,0.21875,0.0625,0.8125,0.6875,-0.125
qwen7,cambodia,36,0.027778,0.0,0.805556,0.777778,-0.027778
qwen7,canada,32,0.09375,0.0,0.84375,0.75,-0.09375
qwen7,chile,35,0.142857,0.0,0.8,0.714286,-0.085714
qwen7,china,36,0.111111,0.0,0.833333,0.722222,-0.111111
qwen7,colombia,32,0.125,0.0,0.8125,0.6875,-0.125
qwen7,croatia,35,0.114286,0.0,0.771429,0.685714,-0.085714
qwen7,cyprus,35,0.142857,0.0,0.828571,0.742857,-0.085714
qwen7,egypt,35,0.114286,0.028571,0.885714,0.828571,-0.057143
qwen7,ethiopia,45,0.022222,0.0,0.733333,0.711111,-0.022222
qwen7,fiji,21,0.0,0.0,0.904762,0.904762,0.0
qwen7,france,34,0.088235,0.029412,0.852941,0.823529,-0.029412
qwen7,germany,43,0.093023,0.023256,0.813953,0.72093,-0.093023
qwen7,greece,34,0.058824,0.0,0.852941,0.852941,0.0
qwen7,hong_kong,35,0.085714,0.0,0.828571,0.742857,-0.085714
qwen7,hungary,36,0.055556,0.0,0.888889,0.833333,-0.055556
qwen7,india,29,0.068966,0.034483,0.689655,0.724138,0.034483
qwen7,indonesia,26,0.076923,0.0,0.730769,0.653846,-0.076923
qwen7,iran,44,0.045455,0.0,0.772727,0.727273,-0.045455
qwen7,iraq,34,0.029412,0.0,0.735294,0.735294,0.0
qwen7,ireland,41,0.073171,0.0,0.878049,0.829268,-0.04878
qwen7,israel,42,0.047619,0.0,0.714286,0.690476,-0.02381
qwen7,italy,34,0.147059,0.029412,0.823529,0.794118,-0.029412
qwen7,japan,35,0.028571,0.0,0.714286,0.685714,-0.028571
qwen7,kenya,33,0.030303,0.0,0.818182,0.787879,-0.030303
qwen7,laos,33,0.060606,0.0,0.848485,0.848485,0.0
qwen7,lebanon,26,0.115385,0.0,0.846154,0.807692,-0.038462
qwen7,malaysia,34,0.058824,0.0,0.794118,0.735294,-0.058824
qwen7,malta,36,0.083333,0.0,0.861111,0.833333,-0.027778
qwen7,mauritius,40,0.1,0.0,0.8,0.75,-0.05
qwen7,mexico,34,0.088235,0.029412,0.735294,0.764706,0.029412
qwen7,myanmar,45,0.022222,0.0,0.711111,0.688889,-0.022222
qwen7,nepal,37,0.108108,0.0,0.810811,0.783784,-0.027027
qwen7,netherlands,36,0.138889,0.027778,0.805556,0.722222,-0.083333
qwen7,new_zealand,42,0.119048,0.02381,0.761905,0.738095,-0.02381
qwen7,north_macedonia,34,0.058824,0.0,0.617647,0.588235,-0.029412
qwen7,pakistan,35,0.114286,0.0,0.942857,0.828571,-0.114286
qwen7,palestinian_territories,34,0.058824,0.0,0.823529,0.852941,0.029412
qwen7,papua_new_guinea,34,0.029412,0.029412,0.852941,0.882353,0.029412
qwen7,peru,32,0.15625,0.0,0.8125,0.71875,-0.09375
qwen7,philippines,32,0.09375,0.03125,0.875,0.84375,-0.03125
qwen7,poland,35,0.114286,0.028571,0.857143,0.8,-0.057143
qwen7,portugal,45,0.111111,0.022222,0.644444,0.622222,-0.022222
qwen7,romania,36,0.055556,0.0,0.777778,0.75,-0.027778
qwen7,russia,35,0.0,0.0,0.657143,0.657143,0.0
qwen7,samoa,36,0.083333,0.0,0.861111,0.777778,-0.083333
qwen7,saudi_arabia,44,0.113636,0.0,0.818182,0.75,-0.068182
qwen7,serbia,39,0.102564,0.025641,0.794872,0.74359,-0.051282
qwen7,singapore,31,0.032258,0.0,0.903226,0.870968,-0.032258
qwen7,somalia,45,0.155556,0.0,0.844444,0.733333,-0.111111
qwen7,south_africa,36,0.083333,0.0,0.777778,0.694444,-0.083333
qwen7,south_korea,27,0.037037,0.0,0.740741,0.703704,-0.037037
qwen7,south_sudan,27,0.148148,0.0,0.814815,0.740741,-0.074074
qwen7,spain,34,0.117647,0.0,0.852941,0.735294,-0.117647
qwen7,sri_lanka,35,0.142857,0.0,0.857143,0.714286,-0.142857
