model,country,total,drift_rate,neutral_collapse_rate,initial_accuracy,final_accuracy,accuracy_gain
qwen7,afghanistan,41,0.268293,0.073171,0.804878,0.609756,-0.195122
qwen7,argentina,33,0.121212,0.0,0.878788,0.757576,-0.121212
qwen7,australia,25,0.08,0.04,0.88,0.88,0.0
qwen7,austria,33,0.151515,0.0,0.787879,0.69697,-0.090909
qwen7,bangladesh,33,0.121212,0.0,0.848485,0.757576,-0.090909
qwen7,bosnia_and_herzegovina,34,0.264706,0.0,0.852941,0.705882,-0.147059
qwen7,brazil,32,0.21875,0.0625,0.8125,0.625,-0.1875
qwen7,cambodia,36,0.138889,0.027778,0.805556,0.666667,-0.138889
qwen7,canada,32,0.125,0.0,0.84375,0.71875,-0.125
qwen7,chile,35,0.2,0.0,0.8,0.6,-0.2
qwen7,china,36,0.111111,0.0,0.833333,0.722222,-0.111111
qwen7,colombia,32,0.09375,0.03125,0.8125,0.78125,-0.03125
qwen7,croatia,35,0.2,0.0,0.771429,0.685714,-0.085714
qwen7,cyprus,35,0.171429,0.0,0.828571,0.685714,-0.142857
qwen7,egypt,35,0.142857,0.0,0.885714,0.742857,-0.142857
qwen7,ethiopia,45,0.111111,0.044444,0.733333,0.622222,-0.111111
qwen7,fiji,21,0.047619,0.0,0.904762,0.857143,-0.047619
qwen7,france,34,0.058824,0.0,0.852941,0.794118,-0.058824
qwen7,germany,43,0.093023,0.023256,0.813953,0.744186,-0.069767
qwen7,greece,34,0.264706,0.058824,0.852941,0.764706,-0.088235
qwen7,hong_kong,35,0.142857,0.0,0.828571,0.685714,-0.142857
qwen7,hungary,36,0.222222,0.0,0.888889,0.722222,-0.166667
qwen7,india,29,0.137931,0.034483,0.689655,0.689655,0.0
qwen7,indonesia,26,0.038462,0.0,0.730769,0.692308,-0.038462
qwen7,iran,44,0.136364,0.045455,0.772727,0.681818,-0.090909
qwen7,iraq,34,0.117647,0.029412,0.735294,0.676471,-0.058824
qwen7,ireland,41,0.097561,0.0,0.878049,0.829268,-0.04878
qwen7,israel,42,0.142857,0.02381,0.714286,0.619048,-0.095238
qwen7,italy,34,0.205882,0.0,0.823529,0.705882,-0.117647
qwen7,japan,35,0.0,0.0,0.714286,0.714286,0.0
qwen7,kenya,33,0.242424,0.0,0.818182,0.636364,-0.181818
qwen7,laos,33,0.212121,0.060606,0.848485,0.757576,-0.090909
qwen7,lebanon,26,0.230769,0.0,0.846154,0.615385,-0.230769
qwen7,malaysia,34,0.117647,0.0,0.794118,0.676471,-0.117647
qwen7,malta,36,0.111111,0.0,0.861111,0.75,-0.111111
qwen7,mauritius,40,0.225,0.075,0.8,0.725,-0.075
qwen7,mexico,34,0.147059,0.0,0.735294,0.705882,-0.029412
qwen7,myanmar,45,0.044444,0.0,0.711111,0.666667,-0.044444
qwen7,nepal,37,0.108108,0.054054,0.810811,0.810811,0.0
qwen7,netherlands,36,0.083333,0.0,0.805556,0.722222,-0.083333
qwen7,new_zealand,42,0.142857,0.047619,0.761905,0.714286,-0.047619
qwen7,north_macedonia,34,0.235294,0.058824,0.617647,0.647059,0.029412
qwen7,pakistan,35,0.257143,0.028571,0.942857,0.685714,-0.257143
qwen7,palestinian_territories,34,0.176471,0.058824,0.823529,0.794118,-0.029412
qwen7,papua_new_guinea,34,0.147059,0.029412,0.852941,0.764706,-0.088235
qwen7,peru,32,0.21875,0.0,0.8125,0.65625,-0.15625
qwen7,philippines,32,0.125,0.0,0.875,0.8125,-0.0625
qwen7,poland,35,0.114286,0.0,0.857143,0.742857,-0.114286
qwen7,portugal,45,0.177778,0.044444,0.644444,0.577778,-0.066667
qwen7,romania,36,0.055556,0.0,0.777778,0.75,-0.027778
qwen7,russia,35,0.114286,0.085714,0.657143,0.657143,0.0
qwen7,samoa,36,0.222222,0.0,0.861111,0.638889,-0.222222
qwen7,saudi_arabia,44,0.113636,0.0,0.818182,0.75,-0.068182
qwen7,serbia,39,0.102564,0.0,0.794872,0.717949,-0.076923
qwen7,singapore,31,0.064516,0.0,0.903226,0.83871,-0.064516
qwen7,somalia,45,0.266667,0.0,0.844444,0.688889,-0.155556
qwen7,south_africa,36,0.166667,0.0,0.777778,0.694444,-0.083333
qwen7,south_korea,27,0.037037,0.0,0.740741,0.703704,-0.037037
qwen7,south_sudan,27,0.185185,0.0,0.814815,0.703704,-0.111111
qwen7,spain,34,0.264706,0.058824,0.852941,0.676471,-0.176471
qwen7,sri_lanka,35,0.142857,0.0,0.857143,0.771429,-0.085714
qwen7,sudan,48,0.125,0.020833,0.8125,0.729167,-0.083333
qwen7,sweden,34,0.264706,0.117647,0.735294,0.676471,-0.058824
qwen7,syria,18,0.166667,0.0,0.944444,0.777778,-0.166667
qwen7,taiwan,32,0.125,0.0625,0.78125,0.75,-0.03125
qwen7,thailand,39,0.205128,0.0,0.820513,0.615385,-0.205128
qwen7,timor-leste,36,0.083333,0.0,0.833333,0.75,-0.083333
qwen7,tonga,35,0.085714,0.0,0.742857,0.714286,-0.028571
qwen7,türkiye,35,0.2,0.028571,0.828571,0.685714,-0.142857
qwen7,ukraine,41,0.121951,0.0,0.878049,0.756098,-0.121951
qwen7,united_kingdom,27,0.074074,0.0,0.703704,0.666667,-0.037037
qwen7,united_states_of_america,42,0.047619,0.0,0.809524,0.761905,-0.047619
qwen7,venezuela,34,0.058824,0.029412,0.735294,0.735294,0.0
qwen7,vietnam,36,0.083333,0.027778,0.805556,0.777778,-0.027778
qwen7,zimbabwe,34,0.0,0.0,0.764706,0.764706,0.0
ollama_llama3_8b,afghanistan,41,0.463415,0.0,0.512195,0.609756,0.097561
ollama_llama3_8b,argentina,33,0.393939,0.0,0.848485,0.757576,-0.090909
ollama_llama3_8b,australia,25,0.04,0.0,0.76,0.72,-0.04
ollama_llama3_8b,austria,33,0.242424,0.0,0.848485,0.727273,-0.121212
ollama_llama3_8b,bangladesh,33,0.181818,0.0,0.757576,0.666667,-0.090909
ollama_llama3_8b,bosnia_and_herzegovina,34,0.264706,0.0,0.529412,0.558824,0.029412
ollama_llama3_8b,brazil,32,0.3125,0.0,0.6875,0.65625,-0.03125
ollama_llama3_8b,cambodia,36,0.222222,0.0,0.75,0.638889,-0.111111
ollama_llama3_8b,canada,32,0.03125,0.0,0.6875,0.65625,-0.03125
ollama_llama3_8b,chile,35,0.428571,0.0,0.828571,0.657143,-0.171429
ollama_llama3_8b,china,36,0.166667,0.0,0.805556,0.638889,-0.166667
ollama_llama3_8b,colombia,32,0.28125,0.0,0.78125,0.6875,-0.09375
ollama_llama3_8b,croatia,35,0.2,0.0,0.714286,0.571429,-0.142857
ollama_llama3_8b,cyprus,35,0.228571,0.0,0.657143,0.628571,-0.028571
ollama_llama3_8b,egypt,35,0.257143,0.0,0.857143,0.657143,-0.2
ollama_llama3_8b,ethiopia,45,0.244444,0.0,0.777778,0.644444,-0.133333
ollama_llama3_8b,fiji,21,0.142857,0.0,1.0,0.857143,-0.142857
ollama_llama3_8b,france,34,0.147059,0.0,0.764706,0.735294,-0.029412
ollama_llama3_8b,germany,43,0.302326,0.0,0.697674,0.604651,-0.093023
ollama_llama3_8b,greece,34,0.235294,0.0,0.794118,0.705882,-0.088235
ollama_llama3_8b,hong_kong,35,0.2,0.0,0.771429,0.628571,-0.142857
ollama_llama3_8b,hungary,36,0.166667,0.0,0.666667,0.611111,-0.055556
ollama_llama3_8b,india,29,0.241379,0.0,0.62069,0.586207,-0.034483
ollama_llama3_8b,indonesia,26,0.192308,0.0,0.730769,0.692308,-0.038462
ollama_llama3_8b,iran,44,0.227273,0.0,0.772727,0.681818,-0.090909
ollama_llama3_8b,iraq,34,0.352941,0.0,0.647059,0.676471,0.029412
ollama_llama3_8b,ireland,41,0.219512,0.0,0.829268,0.707317,-0.121951
ollama_llama3_8b,israel,42,0.285714,0.0,0.666667,0.642857,-0.02381
ollama_llama3_8b,italy,34,0.382353,0.0,0.794118,0.676471,-0.117647
ollama_llama3_8b,japan,35,0.114286,0.0,0.8,0.685714,-0.114286
ollama_llama3_8b,kenya,33,0.272727,0.0,0.727273,0.666667,-0.060606
ollama_llama3_8b,laos,33,0.333333,0.0,0.727273,0.666667,-0.060606
ollama_llama3_8b,lebanon,26,0.230769,0.0,0.730769,0.653846,-0.076923
ollama_llama3_8b,malaysia,34,0.117647,0.0,0.735294,0.676471,-0.058824
ollama_llama3_8b,malta,36,0.333333,0.0,0.777778,0.666667,-0.111111
ollama_llama3_8b,mauritius,40,0.175,0.0,0.75,0.625,-0.125
ollama_llama3_8b,mexico,34,0.294118,0.0,0.676471,0.647059,-0.029412
ollama_llama3_8b,myanmar,45,0.288889,0.0,0.777778,0.666667,-0.111111
ollama_llama3_8b,nepal,37,0.162162,0.0,0.837838,0.675676,-0.162162
ollama_llama3_8b,netherlands,36,0.222222,0.0,0.805556,0.694444,-0.111111
ollama_llama3_8b,new_zealand,42,0.095238,0.0,0.809524,0.761905,-0.047619
ollama_llama3_8b,north_macedonia,34,0.147059,0.0,0.735294,0.647059,-0.088235
ollama_llama3_8b,pakistan,35,0.4,0.057143,0.6,0.571429,-0.028571
ollama_llama3_8b,palestinian_territories,34,0.205882,0.0,0.617647,0.764706,0.147059
ollama_llama3_8b,papua_new_guinea,34,0.235294,0.0,0.882353,0.764706,-0.117647
ollama_llama3_8b,peru,32,0.3125,0.0,0.84375,0.6875,-0.15625
ollama_llama3_8b,philippines,32,0.25,0.0,0.90625,0.65625,-0.25
ollama_llama3_8b,poland,35,0.257143,0.0,0.8,0.657143,-0.142857
ollama_llama3_8b,portugal,45,0.177778,0.0,0.577778,0.555556,-0.022222
ollama_llama3_8b,romania,36,0.055556,0.0,0.75,0.694444,-0.055556
ollama_llama3_8b,russia,35,0.2,0.0,0.685714,0.657143,-0.028571
ollama_llama3_8b,samoa,36,0.222222,0.0,0.777778,0.666667,-0.111111
ollama_llama3_8b,saudi_arabia,44,0.204545,0.0,0.818182,0.727273,-0.090909
ollama_llama3_8b,serbia,39,0.333333,0.0,0.666667,0.564103,-0.102564
ollama_llama3_8b,singapore,31,0.032258,0.0,0.806452,0.774194,-0.032258
ollama_llama3_8b,somalia,45,0.422222,0.0,0.666667,0.577778,-0.088889
ollama_llama3_8b,south_africa,36,0.111111,0.0,0.666667,0.722222,0.055556
ollama_llama3_8b,south_korea,27,0.259259,0.0,0.740741,0.666667,-0.074074
ollama_llama3_8b,south_sudan,27,0.259259,0.0,0.666667,0.62963,-0.037037
ollama_llama3_8b,spain,34,0.264706,0.0,0.735294,0.676471,-0.058824
ollama_llama3_8b,sri_lanka,35,0.171429,0.0,0.857143,0.714286,-0.142857
ollama_llama3_8b,sudan,48,0.3125,0.0,0.604167,0.708333,0.104167
ollama_llama3_8b,sweden,34,0.205882,0.0,0.617647,0.676471,0.058824
ollama_llama3_8b,syria,18,0.388889,0.0,0.555556,0.666667,0.111111
ollama_llama3_8b,taiwan,32,0.25,0.0,0.71875,0.59375,-0.125
ollama_llama3_8b,thailand,39,0.25641,0.0,0.794872,0.641026,-0.153846
ollama_llama3_8b,timor-leste,36,0.222222,0.0,0.805556,0.694444,-0.111111
ollama_llama3_8b,tonga,35,0.2,0.0,0.828571,0.742857,-0.085714
ollama_llama3_8b,türkiye,35,0.285714,0.0,0.685714,0.685714,0.0
ollama_llama3_8b,ukraine,41,0.268293,0.0,0.585366,0.658537,0.073171
ollama_llama3_8b,united_kingdom,27,0.222222,0.0,0.851852,0.703704,-0.148148
ollama_llama3_8b,united_states_of_america,42,0.0,0.0,0.714286,0.714286,0.0
ollama_llama3_8b,venezuela,34,0.352941,0.0,0.588235,0.647059,0.058824
ollama_llama3_8b,vietnam,36,0.194444,0.0,0.777778,0.694444,-0.083333
ollama_llama3_8b,zimbabwe,34,0.205882,0.0,0.764706,0.735294,-0.029412
