country,total,correct,accuracy
afghanistan,41,33,0.804878
argentina,33,24,0.727273
australia,25,21,0.84
austria,33,25,0.757576
bangladesh,33,25,0.757576
bosnia_and_herzegovina,34,25,0.735294
brazil,32,20,0.625
cambodia,36,27,0.75
canada,32,24,0.75
chile,35,26,0.742857
china,36,24,0.666667
colombia,32,24,0.75
croatia,35,26,0.742857
cyprus,35,25,0.714286
egypt,35,29,0.828571
ethiopia,45,30,0.666667
fiji,21,18,0.857143
france,34,26,0.764706
germany,43,33,0.767442
greece,34,26,0.764706
hong_kong,35,25,0.714286
hungary,36,27,0.75
india,29,19,0.655172
indonesia,26,19,0.730769
iran,44,30,0.681818
iraq,34,24,0.705882
ireland,41,30,0.731707
israel,42,27,0.642857
italy,34,25,0.735294
japan,35,25,0.714286
kenya,33,26,0.787879
laos,33,26,0.787879
lebanon,26,19,0.730769
malaysia,34,24,0.705882
malta,36,28,0.777778
mauritius,40,26,0.65
mexico,34,26,0.764706
myanmar,45,32,0.711111
nepal,37,28,0.756757
netherlands,36,25,0.694444
new_zealand,42,28,0.666667
north_macedonia,34,22,0.647059
pakistan,35,26,0.742857
palestinian_territories,34,25,0.735294
papua_new_guinea,34,26,0.764706
peru,32,22,0.6875
philippines,32,25,0.78125
poland,35,27,0.771429
portugal,45,26,0.577778
romania,36,23,0.638889
russia,35,23,0.657143
samoa,36,26,0.722222
saudi_arabia,44,32,0.727273
serbia,39,28,0.717949
singapore,31,25,0.806452
somalia,45,36,0.8
south_africa,36,28,0.777778
south_korea,27,19,0.703704
south_sudan,27,22,0.814815
spain,34,28,0.823529
sri_lanka,35,27,0.771429
sudan,48,35,0.729167
sweden,34,24,0.705882
syria,18,13,0.722222
taiwan,32,23,0.71875
thailand,39,26,0.666667
timor-leste,36,25,0.694444
tonga,35,25,0.714286
türkiye,35,27,0.771429
ukraine,41,34,0.829268
united_kingdom,27,19,0.703704
united_states_of_america,42,31,0.738095
venezuela,34,25,0.735294
vietnam,36,27,0.75
zimbabwe,34,25,0.735294
