model,country,total,correct,accuracy
qwen7,afghanistan,41,31,0.756098
qwen7,argentina,33,28,0.848485
qwen7,australia,25,19,0.76
qwen7,austria,33,24,0.727273
qwen7,bangladesh,33,25,0.757576
qwen7,bosnia_and_herzegovina,34,26,0.764706
qwen7,brazil,32,22,0.6875
qwen7,cambodia,36,28,0.777778
qwen7,canada,32,24,0.75
qwen7,chile,35,25,0.714286
qwen7,china,36,26,0.722222
qwen7,colombia,32,22,0.6875
qwen7,croatia,35,24,0.685714
qwen7,cyprus,35,26,0.742857
qwen7,egypt,35,29,0.828571
qwen7,ethiopia,45,32,0.711111
qwen7,fiji,21,19,0.904762
qwen7,france,34,28,0.823529
qwen7,germany,43,31,0.72093
qwen7,greece,34,29,0.852941
qwen7,hong_kong,35,26,0.742857
qwen7,hungary,36,30,0.833333
qwen7,india,29,21,0.724138
qwen7,indonesia,26,17,0.653846
qwen7,iran,44,32,0.727273
qwen7,iraq,34,25,0.735294
qwen7,ireland,41,34,0.829268
qwen7,israel,42,29,0.690476
qwen7,italy,34,27,0.794118
qwen7,japan,35,24,0.685714
qwen7,kenya,33,26,0.787879
qwen7,laos,33,28,0.848485
qwen7,lebanon,26,21,0.807692
qwen7,malaysia,34,25,0.735294
qwen7,malta,36,30,0.833333
qwen7,mauritius,40,30,0.75
qwen7,mexico,34,26,0.764706
qwen7,myanmar,45,31,0.688889
qwen7,nepal,37,29,0.783784
qwen7,netherlands,36,26,0.722222
qwen7,new_zealand,42,31,0.738095
qwen7,north_macedonia,34,20,0.588235
qwen7,pakistan,35,29,0.828571
qwen7,palestinian_territories,34,29,0.852941
qwen7,papua_new_guinea,34,30,0.882353
qwen7,peru,32,23,0.71875
qwen7,philippines,32,27,0.84375
qwen7,poland,35,28,0.8
qwen7,portugal,45,28,0.622222
qwen7,romania,36,27,0.75
qwen7,russia,35,23,0.657143
qwen7,samoa,36,28,0.777778
qwen7,saudi_arabia,44,33,0.75
qwen7,serbia,39,29,0.74359
qwen7,singapore,31,27,0.870968
qwen7,somalia,45,33,0.733333
qwen7,south_africa,36,25,0.694444
qwen7,south_korea,27,19,0.703704
qwen7,south_sudan,27,20,0.740741
qwen7,spain,34,25,0.735294
qwen7,sri_lanka,35,25,0.714286
qwen7,sudan,48,37,0.770833
qwen7,sweden,34,22,0.647059
qwen7,syria,18,17,0.944444
qwen7,taiwan,32,24,0.75
qwen7,thailand,39,29,0.74359
qwen7,timor-leste,36,27,0.75
qwen7,tonga,35,24,0.685714
qwen7,türkiye,35,28,0.8
qwen7,ukraine,41,31,0.756098
qwen7,united_kingdom,27,18,0.666667
qwen7,united_states_of_america,42,33,0.785714
qwen7,venezuela,34,26,0.764706
qwen7,vietnam,36,28,0.777778
qwen7,zimbabwe,34,26,0.764706
gemma4,afghanistan,41,31,0.756098
gemma4,argentina,33,30,0.909091
gemma4,australia,25,19,0.76
gemma4,austria,33,28,0.848485
gemma4,bangladesh,33,27,0.818182
gemma4,bosnia_and_herzegovina,34,28,0.823529
gemma4,brazil,32,23,0.71875
gemma4,cambodia,36,28,0.777778
gemma4,canada,32,24,0.75
gemma4,chile,35,31,0.885714
gemma4,china,36,30,0.833333
gemma4,colombia,32,23,0.71875
gemma4,croatia,35,27,0.771429
gemma4,cyprus,35,28,0.8
gemma4,egypt,35,25,0.714286
gemma4,ethiopia,45,34,0.755556
gemma4,fiji,21,19,0.904762
gemma4,france,34,29,0.852941
gemma4,germany,43,37,0.860465
gemma4,greece,34,23,0.676471
gemma4,hong_kong,35,26,0.742857
gemma4,hungary,36,30,0.833333
gemma4,india,29,22,0.758621
gemma4,indonesia,26,20,0.769231
gemma4,iran,44,35,0.795455
gemma4,iraq,34,23,0.676471
gemma4,ireland,41,32,0.780488
gemma4,israel,42,31,0.738095
gemma4,italy,34,27,0.794118
gemma4,japan,35,26,0.742857
gemma4,kenya,33,29,0.878788
gemma4,laos,33,26,0.787879
gemma4,lebanon,26,20,0.769231
gemma4,malaysia,34,26,0.764706
gemma4,malta,36,30,0.833333
gemma4,mauritius,40,27,0.675
gemma4,mexico,34,26,0.764706
gemma4,myanmar,45,37,0.822222
gemma4,nepal,37,28,0.756757
gemma4,netherlands,36,28,0.777778
gemma4,new_zealand,42,31,0.738095
gemma4,north_macedonia,34,27,0.794118
gemma4,pakistan,35,27,0.771429
gemma4,palestinian_territories,34,29,0.852941
gemma4,papua_new_guinea,34,31,0.911765
gemma4,peru,32,26,0.8125
gemma4,philippines,32,26,0.8125
gemma4,poland,35,30,0.857143
gemma4,portugal,45,29,0.644444
gemma4,romania,36,27,0.75
gemma4,russia,35,25,0.714286
gemma4,samoa,36,29,0.805556
gemma4,saudi_arabia,44,31,0.704545
gemma4,serbia,39,29,0.74359
gemma4,singapore,31,24,0.774194
gemma4,somalia,45,34,0.755556
gemma4,south_africa,36,29,0.805556
gemma4,south_korea,27,22,0.814815
gemma4,south_sudan,27,24,0.888889
gemma4,spain,34,27,0.794118
gemma4,sri_lanka,35,31,0.885714
gemma4,sudan,48,39,0.8125
gemma4,sweden,34,25,0.735294
gemma4,syria,18,15,0.833333
gemma4,taiwan,32,28,0.875
gemma4,thailand,39,29,0.74359
gemma4,timor-leste,36,31,0.861111
gemma4,tonga,35,29,0.828571
gemma4,türkiye,35,29,0.828571
gemma4,ukraine,41,34,0.829268
gemma4,united_kingdom,27,17,0.62963
gemma4,united_states_of_america,42,32,0.761905
gemma4,venezuela,34,27,0.794118
gemma4,vietnam,36,29,0.805556
gemma4,zimbabwe,34,28,0.823529
