country,total,correct,accuracy
afghanistan,41,31,0.756098
argentina,33,30,0.909091
australia,25,19,0.76
austria,33,28,0.848485
bangladesh,33,27,0.818182
bosnia_and_herzegovina,34,28,0.823529
brazil,32,23,0.71875
cambodia,36,28,0.777778
canada,32,24,0.75
chile,35,31,0.885714
china,36,30,0.833333
colombia,32,23,0.71875
croatia,35,27,0.771429
cyprus,35,28,0.8
egypt,35,25,0.714286
ethiopia,45,34,0.755556
fiji,21,19,0.904762
france,34,29,0.852941
germany,43,37,0.860465
greece,34,23,0.676471
hong_kong,35,26,0.742857
hungary,36,30,0.833333
india,29,22,0.758621
indonesia,26,20,0.769231
iran,44,35,0.795455
iraq,34,23,0.676471
ireland,41,32,0.780488
israel,42,31,0.738095
italy,34,27,0.794118
japan,35,26,0.742857
kenya,33,29,0.878788
laos,33,26,0.787879
lebanon,26,20,0.769231
malaysia,34,26,0.764706
malta,36,30,0.833333
mauritius,40,27,0.675
mexico,34,26,0.764706
myanmar,45,37,0.822222
nepal,37,28,0.756757
netherlands,36,28,0.777778
new_zealand,42,31,0.738095
north_macedonia,34,27,0.794118
pakistan,35,27,0.771429
palestinian_territories,34,29,0.852941
papua_new_guinea,34,31,0.911765
peru,32,26,0.8125
philippines,32,26,0.8125
poland,35,30,0.857143
portugal,45,29,0.644444
romania,36,27,0.75
russia,35,25,0.714286
samoa,36,29,0.805556
saudi_arabia,44,31,0.704545
serbia,39,29,0.74359
singapore,31,24,0.774194
somalia,45,34,0.755556
south_africa,36,29,0.805556
south_korea,27,22,0.814815
south_sudan,27,24,0.888889
spain,34,27,0.794118
sri_lanka,35,31,0.885714
sudan,48,39,0.8125
sweden,34,25,0.735294
syria,18,15,0.833333
taiwan,32,28,0.875
thailand,39,29,0.74359
timor-leste,36,31,0.861111
tonga,35,29,0.828571
türkiye,35,29,0.828571
ukraine,41,34,0.829268
united_kingdom,27,17,0.62963
united_states_of_america,42,32,0.761905
venezuela,34,27,0.794118
vietnam,36,29,0.805556
zimbabwe,34,28,0.823529
