country,total,correct,accuracy
afghanistan,41,31,0.756098
argentina,33,28,0.848485
australia,25,19,0.76
austria,33,24,0.727273
bangladesh,33,25,0.757576
bosnia_and_herzegovina,34,26,0.764706
brazil,32,22,0.6875
cambodia,36,28,0.777778
canada,32,24,0.75
chile,35,25,0.714286
china,36,26,0.722222
colombia,32,22,0.6875
croatia,35,24,0.685714
cyprus,35,26,0.742857
egypt,35,29,0.828571
ethiopia,45,32,0.711111
fiji,21,19,0.904762
france,34,28,0.823529
germany,43,31,0.72093
greece,34,29,0.852941
hong_kong,35,26,0.742857
hungary,36,30,0.833333
india,29,21,0.724138
indonesia,26,17,0.653846
iran,44,32,0.727273
iraq,34,25,0.735294
ireland,41,34,0.829268
israel,42,29,0.690476
italy,34,27,0.794118
japan,35,24,0.685714
kenya,33,26,0.787879
laos,33,28,0.848485
lebanon,26,21,0.807692
malaysia,34,25,0.735294
malta,36,30,0.833333
mauritius,40,30,0.75
mexico,34,26,0.764706
myanmar,45,31,0.688889
nepal,37,29,0.783784
netherlands,36,26,0.722222
new_zealand,42,31,0.738095
north_macedonia,34,20,0.588235
pakistan,35,29,0.828571
palestinian_territories,34,29,0.852941
papua_new_guinea,34,30,0.882353
peru,32,23,0.71875
philippines,32,27,0.84375
poland,35,28,0.8
portugal,45,28,0.622222
romania,36,27,0.75
russia,35,23,0.657143
samoa,36,28,0.777778
saudi_arabia,44,33,0.75
serbia,39,29,0.74359
singapore,31,27,0.870968
somalia,45,33,0.733333
south_africa,36,25,0.694444
south_korea,27,19,0.703704
south_sudan,27,20,0.740741
spain,34,25,0.735294
sri_lanka,35,25,0.714286
sudan,48,37,0.770833
sweden,34,22,0.647059
syria,18,17,0.944444
taiwan,32,24,0.75
thailand,39,29,0.74359
timor-leste,36,27,0.75
tonga,35,24,0.685714
türkiye,35,28,0.8
ukraine,41,31,0.756098
united_kingdom,27,18,0.666667
united_states_of_america,42,33,0.785714
venezuela,34,26,0.764706
vietnam,36,28,0.777778
zimbabwe,34,26,0.764706
