model,country,total,correct,accuracy
qwen7,afghanistan,41,25,0.609756
qwen7,argentina,33,25,0.757576
qwen7,australia,25,22,0.88
qwen7,austria,33,23,0.69697
qwen7,bangladesh,33,25,0.757576
qwen7,bosnia_and_herzegovina,34,24,0.705882
qwen7,brazil,32,20,0.625
qwen7,cambodia,36,24,0.666667
qwen7,canada,32,23,0.71875
qwen7,chile,35,21,0.6
qwen7,china,36,26,0.722222
qwen7,colombia,32,25,0.78125
qwen7,croatia,35,24,0.685714
qwen7,cyprus,35,24,0.685714
qwen7,egypt,35,26,0.742857
qwen7,ethiopia,45,28,0.622222
qwen7,fiji,21,18,0.857143
qwen7,france,34,27,0.794118
qwen7,germany,43,32,0.744186
qwen7,greece,34,26,0.764706
qwen7,hong_kong,35,24,0.685714
qwen7,hungary,36,26,0.722222
qwen7,india,29,20,0.689655
qwen7,indonesia,26,18,0.692308
qwen7,iran,44,30,0.681818
qwen7,iraq,34,23,0.676471
qwen7,ireland,41,34,0.829268
qwen7,israel,42,26,0.619048
qwen7,italy,34,24,0.705882
qwen7,japan,35,25,0.714286
qwen7,kenya,33,21,0.636364
qwen7,laos,33,25,0.757576
qwen7,lebanon,26,16,0.615385
qwen7,malaysia,34,23,0.676471
qwen7,malta,36,27,0.75
qwen7,mauritius,40,29,0.725
qwen7,mexico,34,24,0.705882
qwen7,myanmar,45,30,0.666667
qwen7,nepal,37,30,0.810811
qwen7,netherlands,36,26,0.722222
qwen7,new_zealand,42,30,0.714286
qwen7,north_macedonia,34,22,0.647059
qwen7,pakistan,35,24,0.685714
qwen7,palestinian_territories,34,27,0.794118
qwen7,papua_new_guinea,34,26,0.764706
qwen7,peru,32,21,0.65625
qwen7,philippines,32,26,0.8125
qwen7,poland,35,26,0.742857
qwen7,portugal,45,26,0.577778
qwen7,romania,36,27,0.75
qwen7,russia,35,23,0.657143
qwen7,samoa,36,23,0.638889
qwen7,saudi_arabia,44,33,0.75
qwen7,serbia,39,28,0.717949
qwen7,singapore,31,26,0.83871
qwen7,somalia,45,31,0.688889
qwen7,south_africa,36,25,0.694444
qwen7,south_korea,27,19,0.703704
qwen7,south_sudan,27,19,0.703704
qwen7,spain,34,23,0.676471
qwen7,sri_lanka,35,27,0.771429
qwen7,sudan,48,35,0.729167
qwen7,sweden,34,23,0.676471
qwen7,syria,18,14,0.777778
qwen7,taiwan,32,24,0.75
qwen7,thailand,39,24,0.615385
qwen7,timor-leste,36,27,0.75
qwen7,tonga,35,25,0.714286
qwen7,türkiye,35,24,0.685714
qwen7,ukraine,41,31,0.756098
qwen7,united_kingdom,27,18,0.666667
qwen7,united_states_of_america,42,32,0.761905
qwen7,venezuela,34,25,0.735294
qwen7,vietnam,36,28,0.777778
qwen7,zimbabwe,34,26,0.764706
ollama_llama3_8b,afghanistan,41,25,0.609756
ollama_llama3_8b,argentina,33,25,0.757576
ollama_llama3_8b,australia,25,18,0.72
ollama_llama3_8b,austria,33,24,0.727273
ollama_llama3_8b,bangladesh,33,22,0.666667
ollama_llama3_8b,bosnia_and_herzegovina,34,19,0.558824
ollama_llama3_8b,brazil,32,21,0.65625
ollama_llama3_8b,cambodia,36,23,0.638889
ollama_llama3_8b,canada,32,21,0.65625
ollama_llama3_8b,chile,35,23,0.657143
ollama_llama3_8b,china,36,23,0.638889
ollama_llama3_8b,colombia,32,22,0.6875
ollama_llama3_8b,croatia,35,20,0.571429
ollama_llama3_8b,cyprus,35,22,0.628571
ollama_llama3_8b,egypt,35,23,0.657143
ollama_llama3_8b,ethiopia,45,29,0.644444
ollama_llama3_8b,fiji,21,18,0.857143
ollama_llama3_8b,france,34,25,0.735294
ollama_llama3_8b,germany,43,26,0.604651
ollama_llama3_8b,greece,34,24,0.705882
ollama_llama3_8b,hong_kong,35,22,0.628571
ollama_llama3_8b,hungary,36,22,0.611111
ollama_llama3_8b,india,29,17,0.586207
ollama_llama3_8b,indonesia,26,18,0.692308
ollama_llama3_8b,iran,44,30,0.681818
ollama_llama3_8b,iraq,34,23,0.676471
ollama_llama3_8b,ireland,41,29,0.707317
ollama_llama3_8b,israel,42,27,0.642857
ollama_llama3_8b,italy,34,23,0.676471
ollama_llama3_8b,japan,35,24,0.685714
ollama_llama3_8b,kenya,33,22,0.666667
ollama_llama3_8b,laos,33,22,0.666667
ollama_llama3_8b,lebanon,26,17,0.653846
ollama_llama3_8b,malaysia,34,23,0.676471
ollama_llama3_8b,malta,36,24,0.666667
ollama_llama3_8b,mauritius,40,25,0.625
ollama_llama3_8b,mexico,34,22,0.647059
ollama_llama3_8b,myanmar,45,30,0.666667
ollama_llama3_8b,nepal,37,25,0.675676
ollama_llama3_8b,netherlands,36,25,0.694444
ollama_llama3_8b,new_zealand,42,32,0.761905
ollama_llama3_8b,north_macedonia,34,22,0.647059
ollama_llama3_8b,pakistan,35,20,0.571429
ollama_llama3_8b,palestinian_territories,34,26,0.764706
ollama_llama3_8b,papua_new_guinea,34,26,0.764706
ollama_llama3_8b,peru,32,22,0.6875
ollama_llama3_8b,philippines,32,21,0.65625
ollama_llama3_8b,poland,35,23,0.657143
ollama_llama3_8b,portugal,45,25,0.555556
ollama_llama3_8b,romania,36,25,0.694444
ollama_llama3_8b,russia,35,23,0.657143
ollama_llama3_8b,samoa,36,24,0.666667
ollama_llama3_8b,saudi_arabia,44,32,0.727273
ollama_llama3_8b,serbia,39,22,0.564103
ollama_llama3_8b,singapore,31,24,0.774194
ollama_llama3_8b,somalia,45,26,0.577778
ollama_llama3_8b,south_africa,36,26,0.722222
ollama_llama3_8b,south_korea,27,18,0.666667
ollama_llama3_8b,south_sudan,27,17,0.62963
ollama_llama3_8b,spain,34,23,0.676471
ollama_llama3_8b,sri_lanka,35,25,0.714286
ollama_llama3_8b,sudan,48,34,0.708333
ollama_llama3_8b,sweden,34,23,0.676471
ollama_llama3_8b,syria,18,12,0.666667
ollama_llama3_8b,taiwan,32,19,0.59375
ollama_llama3_8b,thailand,39,25,0.641026
ollama_llama3_8b,timor-leste,36,25,0.694444
ollama_llama3_8b,tonga,35,26,0.742857
ollama_llama3_8b,türkiye,35,24,0.685714
ollama_llama3_8b,ukraine,41,27,0.658537
ollama_llama3_8b,united_kingdom,27,19,0.703704
ollama_llama3_8b,united_states_of_america,42,30,0.714286
ollama_llama3_8b,venezuela,34,22,0.647059
ollama_llama3_8b,vietnam,36,25,0.694444
ollama_llama3_8b,zimbabwe,34,25,0.735294
