country,total,correct,accuracy
afghanistan,41,25,0.609756
argentina,33,25,0.757576
australia,25,18,0.72
austria,33,24,0.727273
bangladesh,33,22,0.666667
bosnia_and_herzegovina,34,19,0.558824
brazil,32,21,0.65625
cambodia,36,23,0.638889
canada,32,21,0.65625
chile,35,23,0.657143
china,36,23,0.638889
colombia,32,22,0.6875
croatia,35,20,0.571429
cyprus,35,22,0.628571
egypt,35,23,0.657143
ethiopia,45,29,0.644444
fiji,21,18,0.857143
france,34,25,0.735294
germany,43,26,0.604651
greece,34,24,0.705882
hong_kong,35,22,0.628571
hungary,36,22,0.611111
india,29,17,0.586207
indonesia,26,18,0.692308
iran,44,30,0.681818
iraq,34,23,0.676471
ireland,41,29,0.707317
israel,42,27,0.642857
italy,34,23,0.676471
japan,35,24,0.685714
kenya,33,22,0.666667
laos,33,22,0.666667
lebanon,26,17,0.653846
malaysia,34,23,0.676471
malta,36,24,0.666667
mauritius,40,25,0.625
mexico,34,22,0.647059
myanmar,45,30,0.666667
nepal,37,25,0.675676
netherlands,36,25,0.694444
new_zealand,42,32,0.761905
north_macedonia,34,22,0.647059
pakistan,35,20,0.571429
palestinian_territories,34,26,0.764706
papua_new_guinea,34,26,0.764706
peru,32,22,0.6875
philippines,32,21,0.65625
poland,35,23,0.657143
portugal,45,25,0.555556
romania,36,25,0.694444
russia,35,23,0.657143
samoa,36,24,0.666667
saudi_arabia,44,32,0.727273
serbia,39,22,0.564103
singapore,31,24,0.774194
somalia,45,26,0.577778
south_africa,36,26,0.722222
south_korea,27,18,0.666667
south_sudan,27,17,0.62963
spain,34,23,0.676471
sri_lanka,35,25,0.714286
sudan,48,34,0.708333
sweden,34,23,0.676471
syria,18,12,0.666667
taiwan,32,19,0.59375
thailand,39,25,0.641026
timor-leste,36,25,0.694444
tonga,35,26,0.742857
türkiye,35,24,0.685714
ukraine,41,27,0.658537
united_kingdom,27,19,0.703704
united_states_of_america,42,30,0.714286
venezuela,34,22,0.647059
vietnam,36,25,0.694444
zimbabwe,34,25,0.735294
