country,total,correct,accuracy
afghanistan,41,25,0.609756
argentina,33,25,0.757576
australia,25,22,0.88
austria,33,23,0.69697
bangladesh,33,25,0.757576
bosnia_and_herzegovina,34,24,0.705882
brazil,32,20,0.625
cambodia,36,24,0.666667
canada,32,23,0.71875
chile,35,21,0.6
china,36,26,0.722222
colombia,32,25,0.78125
croatia,35,24,0.685714
cyprus,35,24,0.685714
egypt,35,26,0.742857
ethiopia,45,28,0.622222
fiji,21,18,0.857143
france,34,27,0.794118
germany,43,32,0.744186
greece,34,26,0.764706
hong_kong,35,24,0.685714
hungary,36,26,0.722222
india,29,20,0.689655
indonesia,26,18,0.692308
iran,44,30,0.681818
iraq,34,23,0.676471
ireland,41,34,0.829268
israel,42,26,0.619048
italy,34,24,0.705882
japan,35,25,0.714286
kenya,33,21,0.636364
laos,33,25,0.757576
lebanon,26,16,0.615385
malaysia,34,23,0.676471
malta,36,27,0.75
mauritius,40,29,0.725
mexico,34,24,0.705882
myanmar,45,30,0.666667
nepal,37,30,0.810811
netherlands,36,26,0.722222
new_zealand,42,30,0.714286
north_macedonia,34,22,0.647059
pakistan,35,24,0.685714
palestinian_territories,34,27,0.794118
papua_new_guinea,34,26,0.764706
peru,32,21,0.65625
philippines,32,26,0.8125
poland,35,26,0.742857
portugal,45,26,0.577778
romania,36,27,0.75
russia,35,23,0.657143
samoa,36,23,0.638889
saudi_arabia,44,33,0.75
serbia,39,28,0.717949
singapore,31,26,0.83871
somalia,45,31,0.688889
south_africa,36,25,0.694444
south_korea,27,19,0.703704
south_sudan,27,19,0.703704
spain,34,23,0.676471
sri_lanka,35,27,0.771429
sudan,48,35,0.729167
sweden,34,23,0.676471
syria,18,14,0.777778
taiwan,32,24,0.75
thailand,39,24,0.615385
timor-leste,36,27,0.75
tonga,35,25,0.714286
türkiye,35,24,0.685714
ukraine,41,31,0.756098
united_kingdom,27,18,0.666667
united_states_of_america,42,32,0.761905
venezuela,34,25,0.735294
vietnam,36,28,0.777778
zimbabwe,34,26,0.764706
