model,country,total,correct,accuracy
qwen7_single,afghanistan,41,14,0.341463
qwen7_single,argentina,33,17,0.515152
qwen7_single,australia,25,17,0.68
qwen7_single,austria,33,15,0.454545
qwen7_single,bangladesh,33,14,0.424242
qwen7_single,bosnia_and_herzegovina,34,17,0.5
qwen7_single,brazil,32,8,0.25
qwen7_single,cambodia,36,18,0.5
qwen7_single,canada,32,15,0.46875
qwen7_single,chile,35,16,0.457143
qwen7_single,china,36,18,0.5
qwen7_single,colombia,32,14,0.4375
qwen7_single,croatia,35,15,0.428571
qwen7_single,cyprus,35,16,0.457143
qwen7_single,egypt,35,16,0.457143
qwen7_single,ethiopia,45,25,0.555556
qwen7_single,fiji,21,13,0.619048
qwen7_single,france,34,16,0.470588
qwen7_single,germany,43,25,0.581395
qwen7_single,greece,34,8,0.235294
qwen7_single,hong_kong,35,20,0.571429
qwen7_single,hungary,36,20,0.555556
qwen7_single,india,29,13,0.448276
qwen7_single,indonesia,26,14,0.538462
qwen7_single,iran,44,18,0.409091
qwen7_single,iraq,34,18,0.529412
qwen7_single,ireland,41,17,0.414634
qwen7_single,israel,42,21,0.5
qwen7_single,italy,34,19,0.558824
qwen7_single,japan,35,19,0.542857
qwen7_single,kenya,33,19,0.575758
qwen7_single,laos,33,18,0.545455
qwen7_single,lebanon,26,13,0.5
qwen7_single,malaysia,34,16,0.470588
qwen7_single,malta,36,11,0.305556
qwen7_single,mauritius,40,16,0.4
qwen7_single,mexico,34,16,0.470588
qwen7_single,myanmar,45,24,0.533333
qwen7_single,nepal,37,14,0.378378
qwen7_single,netherlands,36,12,0.333333
qwen7_single,new_zealand,42,26,0.619048
qwen7_single,north_macedonia,34,16,0.470588
qwen7_single,pakistan,35,23,0.657143
qwen7_single,palestinian_territories,34,21,0.617647
qwen7_single,papua_new_guinea,34,19,0.558824
qwen7_single,peru,32,17,0.53125
qwen7_single,philippines,32,15,0.46875
qwen7_single,poland,35,18,0.514286
qwen7_single,portugal,45,25,0.555556
qwen7_single,romania,36,16,0.444444
qwen7_single,russia,35,16,0.457143
qwen7_single,samoa,36,21,0.583333
qwen7_single,saudi_arabia,44,24,0.545455
qwen7_single,serbia,39,16,0.410256
qwen7_single,singapore,31,15,0.483871
qwen7_single,somalia,45,20,0.444444
qwen7_single,south_africa,36,17,0.472222
qwen7_single,south_korea,27,13,0.481481
qwen7_single,south_sudan,27,10,0.37037
qwen7_single,spain,34,20,0.588235
qwen7_single,sri_lanka,35,17,0.485714
qwen7_single,sudan,48,21,0.4375
qwen7_single,sweden,34,18,0.529412
qwen7_single,syria,18,5,0.277778
qwen7_single,taiwan,32,19,0.59375
qwen7_single,thailand,39,17,0.435897
qwen7_single,timor-leste,36,14,0.388889
qwen7_single,tonga,35,13,0.371429
qwen7_single,türkiye,35,17,0.485714
qwen7_single,ukraine,41,18,0.439024
qwen7_single,united_kingdom,27,14,0.518519
qwen7_single,united_states_of_america,42,27,0.642857
qwen7_single,venezuela,34,17,0.5
qwen7_single,vietnam,36,24,0.666667
qwen7_single,zimbabwe,34,15,0.441176
