country,total,correct,accuracy
afghanistan,41,14,0.341463
argentina,33,20,0.606061
australia,25,16,0.64
austria,33,20,0.606061
bangladesh,33,13,0.393939
bosnia_and_herzegovina,34,17,0.5
brazil,32,15,0.46875
cambodia,36,21,0.583333
canada,32,18,0.5625
chile,35,18,0.514286
china,36,19,0.527778
colombia,32,17,0.53125
croatia,35,18,0.514286
cyprus,35,17,0.485714
egypt,35,16,0.457143
ethiopia,45,20,0.444444
fiji,21,11,0.52381
france,34,15,0.441176
germany,43,23,0.534884
greece,34,15,0.441176
hong_kong,35,17,0.485714
hungary,36,18,0.5
india,29,17,0.586207
indonesia,26,14,0.538462
iran,44,20,0.454545
iraq,34,14,0.411765
ireland,41,17,0.414634
israel,42,25,0.595238
italy,34,17,0.5
japan,35,18,0.514286
kenya,33,15,0.454545
laos,33,18,0.545455
lebanon,26,12,0.461538
malaysia,34,18,0.529412
malta,36,16,0.444444
mauritius,40,18,0.45
mexico,34,19,0.558824
myanmar,45,27,0.6
nepal,37,15,0.405405
netherlands,36,19,0.527778
new_zealand,42,22,0.52381
north_macedonia,34,16,0.470588
pakistan,35,20,0.571429
palestinian_territories,34,16,0.470588
papua_new_guinea,34,18,0.529412
peru,32,19,0.59375
philippines,32,18,0.5625
poland,35,20,0.571429
portugal,45,18,0.4
romania,36,20,0.555556
russia,35,17,0.485714
samoa,36,21,0.583333
saudi_arabia,44,23,0.522727
serbia,39,17,0.435897
singapore,31,18,0.580645
somalia,45,16,0.355556
south_africa,36,16,0.444444
south_korea,27,14,0.518519
south_sudan,27,13,0.481481
spain,34,23,0.676471
sri_lanka,35,18,0.514286
sudan,48,18,0.375
sweden,34,15,0.441176
syria,18,6,0.333333
taiwan,32,19,0.59375
thailand,39,21,0.538462
timor-leste,36,17,0.472222
tonga,35,15,0.428571
türkiye,35,17,0.485714
ukraine,41,18,0.439024
united_kingdom,27,13,0.481481
united_states_of_america,42,31,0.738095
venezuela,34,18,0.529412
vietnam,36,21,0.583333
zimbabwe,34,14,0.411765
