model,country,total,drift_rate,neutral_collapse_rate,initial_accuracy,final_accuracy,accuracy_gain
qwen3,afghanistan,41,0.609756,0.0,0.585366,0.317073,-0.268293
qwen3,argentina,33,0.484848,0.0,0.727273,0.333333,-0.393939
qwen3,australia,25,0.56,0.0,0.84,0.32,-0.52
qwen3,austria,33,0.424242,0.0,0.636364,0.333333,-0.30303
qwen3,bangladesh,33,0.606061,0.0,0.727273,0.333333,-0.393939
qwen3,bosnia_and_herzegovina,34,0.470588,0.0,0.617647,0.323529,-0.294118
qwen3,brazil,32,0.4375,0.0,0.625,0.28125,-0.34375
qwen3,cambodia,36,0.5,0.0,0.75,0.361111,-0.388889
qwen3,canada,32,0.4375,0.0,0.6875,0.375,-0.3125
qwen3,chile,35,0.4,0.0,0.514286,0.342857,-0.171429
qwen3,china,36,0.5,0.0,0.694444,0.305556,-0.388889
qwen3,colombia,32,0.5,0.0,0.6875,0.28125,-0.40625
qwen3,croatia,35,0.542857,0.0,0.8,0.342857,-0.457143
qwen3,cyprus,35,0.542857,0.0,0.742857,0.342857,-0.4
qwen3,egypt,35,0.542857,0.0,0.828571,0.342857,-0.485714
qwen3,ethiopia,45,0.4,0.0,0.6,0.311111,-0.288889
qwen3,fiji,21,0.428571,0.0,0.714286,0.428571,-0.285714
qwen3,france,34,0.5,0.0,0.735294,0.352941,-0.382353
qwen3,germany,43,0.465116,0.0,0.651163,0.325581,-0.325581
qwen3,greece,34,0.5,0.0,0.735294,0.352941,-0.382353
qwen3,hong_kong,35,0.457143,0.0,0.685714,0.314286,-0.371429
qwen3,hungary,36,0.5,0.0,0.611111,0.361111,-0.25
qwen3,india,29,0.62069,0.0,0.827586,0.37931,-0.448276
qwen3,indonesia,26,0.384615,0.0,0.653846,0.346154,-0.307692
qwen3,iran,44,0.5,0.0,0.568182,0.318182,-0.25
qwen3,iraq,34,0.529412,0.0,0.647059,0.352941,-0.294118
qwen3,ireland,41,0.414634,0.0,0.707317,0.365854,-0.341463
qwen3,israel,42,0.5,0.0,0.714286,0.333333,-0.380952
qwen3,italy,34,0.470588,0.0,0.735294,0.323529,-0.411765
qwen3,japan,35,0.457143,0.0,0.657143,0.342857,-0.314286
qwen3,kenya,33,0.393939,0.0,0.606061,0.363636,-0.242424
qwen3,laos,33,0.606061,0.0,0.757576,0.30303,-0.454545
qwen3,lebanon,26,0.538462,0.0,0.884615,0.346154,-0.538462
qwen3,malaysia,34,0.411765,0.0,0.647059,0.352941,-0.294118
qwen3,malta,36,0.5,0.0,0.75,0.333333,-0.416667
qwen3,mauritius,40,0.7,0.0,0.775,0.275,-0.5
qwen3,mexico,34,0.5,0.0,0.617647,0.352941,-0.264706
qwen3,myanmar,45,0.377778,0.0,0.555556,0.333333,-0.222222
qwen3,nepal,37,0.432432,0.0,0.72973,0.351351,-0.378378
qwen3,netherlands,36,0.5,0.0,0.722222,0.333333,-0.388889
qwen3,new_zealand,42,0.5,0.0,0.666667,0.333333,-0.333333
qwen3,north_macedonia,34,0.617647,0.0,0.705882,0.352941,-0.352941
qwen3,pakistan,35,0.457143,0.0,0.628571,0.285714,-0.342857
qwen3,palestinian_territories,34,0.647059,0.0,0.647059,0.382353,-0.264706
qwen3,papua_new_guinea,34,0.558824,0.0,0.794118,0.323529,-0.470588
qwen3,peru,32,0.5625,0.0,0.65625,0.28125,-0.375
qwen3,philippines,32,0.375,0.0,0.71875,0.375,-0.34375
qwen3,poland,35,0.571429,0.0,0.8,0.314286,-0.485714
qwen3,portugal,45,0.466667,0.0,0.622222,0.244444,-0.377778
qwen3,romania,36,0.638889,0.0,0.777778,0.333333,-0.444444
qwen3,russia,35,0.457143,0.0,0.685714,0.285714,-0.4
qwen3,samoa,36,0.611111,0.0,0.777778,0.305556,-0.472222
qwen3,saudi_arabia,44,0.5,0.0,0.704545,0.340909,-0.363636
qwen3,serbia,39,0.589744,0.0,0.692308,0.307692,-0.384615
qwen3,singapore,31,0.419355,0.0,0.741935,0.387097,-0.354839
qwen3,somalia,45,0.622222,0.0,0.711111,0.333333,-0.377778
qwen3,south_africa,36,0.472222,0.0,0.777778,0.333333,-0.444444
qwen3,south_korea,27,0.37037,0.0,0.666667,0.333333,-0.333333
qwen3,south_sudan,27,0.592593,0.0,0.62963,0.333333,-0.296296
qwen3,spain,34,0.529412,0.0,0.794118,0.352941,-0.441176
qwen3,sri_lanka,35,0.428571,0.0,0.771429,0.342857,-0.428571
qwen3,sudan,48,0.416667,0.0,0.583333,0.333333,-0.25
qwen3,sweden,34,0.617647,0.0,0.647059,0.323529,-0.323529
qwen3,syria,18,0.666667,0.0,0.666667,0.333333,-0.333333
qwen3,taiwan,32,0.5625,0.0,0.84375,0.34375,-0.5
qwen3,thailand,39,0.435897,0.0,0.692308,0.282051,-0.410256
qwen3,timor-leste,36,0.5,0.0,0.666667,0.333333,-0.333333
qwen3,tonga,35,0.571429,0.0,0.571429,0.285714,-0.285714
qwen3,türkiye,35,0.428571,0.0,0.714286,0.342857,-0.371429
qwen3,ukraine,41,0.560976,0.0,0.731707,0.365854,-0.365854
qwen3,united_kingdom,27,0.407407,0.0,0.740741,0.37037,-0.37037
qwen3,united_states_of_america,42,0.452381,0.0,0.761905,0.380952,-0.380952
qwen3,venezuela,34,0.558824,0.0,0.676471,0.323529,-0.352941
qwen3,vietnam,36,0.444444,0.0,0.638889,0.305556,-0.333333
qwen3,zimbabwe,34,0.441176,0.0,0.794118,0.352941,-0.441176
qwen7,afghanistan,41,0.292683,0.146341,0.804878,0.658537,-0.146341
qwen7,argentina,33,0.121212,0.0,0.909091,0.787879,-0.121212
qwen7,australia,25,0.2,0.04,0.88,0.76,-0.12
