country,total,correct,accuracy
afghanistan,41,13,0.317073
argentina,33,11,0.333333
australia,25,8,0.32
austria,33,11,0.333333
bangladesh,33,11,0.333333
bosnia_and_herzegovina,34,11,0.323529
brazil,32,9,0.28125
cambodia,36,13,0.361111
canada,32,12,0.375
chile,35,12,0.342857
china,36,11,0.305556
colombia,32,9,0.28125
croatia,35,12,0.342857
cyprus,35,12,0.342857
egypt,35,12,0.342857
ethiopia,45,14,0.311111
fiji,21,9,0.428571
france,34,12,0.352941
germany,43,14,0.325581
greece,34,12,0.352941
hong_kong,35,11,0.314286
hungary,36,13,0.361111
india,29,11,0.37931
indonesia,26,9,0.346154
iran,44,14,0.318182
iraq,34,12,0.352941
ireland,41,15,0.365854
israel,42,14,0.333333
italy,34,11,0.323529
japan,35,12,0.342857
kenya,33,12,0.363636
laos,33,10,0.30303
lebanon,26,9,0.346154
malaysia,34,12,0.352941
malta,36,12,0.333333
mauritius,40,11,0.275
mexico,34,12,0.352941
myanmar,45,15,0.333333
nepal,37,13,0.351351
netherlands,36,12,0.333333
new_zealand,42,14,0.333333
north_macedonia,34,12,0.352941
pakistan,35,10,0.285714
palestinian_territories,34,13,0.382353
papua_new_guinea,34,11,0.323529
peru,32,9,0.28125
philippines,32,12,0.375
poland,35,11,0.314286
portugal,45,11,0.244444
romania,36,12,0.333333
russia,35,10,0.285714
samoa,36,11,0.305556
saudi_arabia,44,15,0.340909
serbia,39,12,0.307692
singapore,31,12,0.387097
somalia,45,15,0.333333
south_africa,36,12,0.333333
south_korea,27,9,0.333333
south_sudan,27,9,0.333333
spain,34,12,0.352941
sri_lanka,35,12,0.342857
sudan,48,16,0.333333
sweden,34,11,0.323529
syria,18,6,0.333333
taiwan,32,11,0.34375
thailand,39,11,0.282051
timor-leste,36,12,0.333333
tonga,35,10,0.285714
türkiye,35,12,0.342857
ukraine,41,15,0.365854
united_kingdom,27,10,0.37037
united_states_of_america,42,16,0.380952
venezuela,34,11,0.323529
vietnam,36,11,0.305556
zimbabwe,34,12,0.352941
